date,time,price
20070109,1435,99.98
20070109,1440,99.96
20070109,1445,99.91
20070109,1450,99.92
20070109,1455,99.94
20070109,1500,99.94
20070109,1505,99.91
20070109,1510,99.96
20070109,1515,100.06
20070109,1520,100.09
20070109,1525,100.09
20070109,1530,100.16
20070109,1535,100.23
20070109,1540,100.17
20070109,1545,100.13
20070109,1550,100.07
20070109,1555,100.18
20070109,1600,100.05
20070110,935,98.7
20070110,940,98.69
20070110,945,98.82
20070110,950,98.56
20070110,955,98.69
20070110,1000,98.77
20070110,1005,98.88
20070110,1010,98.93
20070110,1015,98.77
20070110,1020,98.68
20070110,1025,98.6
20070110,1030,98.48
20070110,1035,98.44
20070110,1040,98.46
20070110,1045,98.57
20070110,1050,98.6
20070110,1055,98.6
20070110,1100,98.48
20070110,1105,98.52
20070110,1110,98.45
20070110,1115,98.38
20070110,1120,98.35
20070110,1125,98.18
20070110,1130,97.98
20070110,1135,98.11
20070110,1140,98.24
20070110,1145,98.32
20070110,1150,98.25
20070110,1155,98.22
20070110,1200,98.14
20070110,1205,98.24
20070110,1210,98.18
20070110,1215,98.29
20070110,1220,98.33
20070110,1225,98.42
20070110,1230,98.36
20070110,1235,98.5
20070110,1240,98.63
20070110,1245,98.72
20070110,1250,98.81
20070110,1255,98.71
20070110,1300,98.71
20070110,1305,98.64
20070110,1310,98.66
20070110,1315,98.54
20070110,1320,98.48
20070110,1325,98.57
20070110,1330,98.59
20070110,1335,98.61
20070110,1340,98.63
20070110,1345,98.75
20070110,1350,98.89
20070110,1355,98.96
20070110,1400,98.85
20070110,1405,98.8
20070110,1410,98.71
20070110,1415,98.76
20070110,1420,98.76
20070110,1425,98.73
20070110,1430,98.7
20070110,1435,98.76
20070110,1440,98.59
20070110,1445,98.69
20070110,1450,98.75
20070110,1455,98.76
20070110,1500,98.75
20070110,1505,98.67
20070110,1510,98.68
20070110,1515,98.69
20070110,1520,98.93
20070110,1525,98.9
20070110,1530,98.85
20070110,1535,98.9
20070110,1540,98.86
20070110,1545,99.02
20070110,1550,99.01
20070110,1555,99.0
20070110,1600,98.9
20070111,935,98.63
20070111,940,98.79
20070111,945,98.66
20070111,950,98.95
20070111,955,99.06
20070111,1000,99.12
20070111,1005,99.15
20070111,1010,99.06
20070111,1015,99.11
20070111,1020,99.23
20070111,1025,99.21
20070111,1030,99.05
20070111,1035,99.06
20070111,1040,99.12
20070111,1045,99.07
20070111,1050,99.09
20070111,1055,99.05
20070111,1100,99.07
20070111,1105,99.12
20070111,1110,99.08
20070111,1115,99.1
20070111,1120,99.13
20070111,1125,99.1
20070111,1130,99.12
20070111,1135,99.32
20070111,1140,99.43
20070111,1145,99.56
20070111,1150,99.44
20070111,1155,99.29
20070111,1200,99.25
20070111,1205,99.25
20070111,1210,99.37
20070111,1215,99.42
20070111,1220,99.41
20070111,1225,99.38
20070111,1230,99.38
20070111,1235,99.38
20070111,1240,99.39
20070111,1245,99.34
20070111,1250,99.39
20070111,1255,99.36
20070111,1300,99.43
20070111,1305,99.36
20070111,1310,99.32
20070111,1315,99.34
20070111,1320,99.32
20070111,1325,99.3
20070111,1330,99.25
20070111,1335,99.26
20070111,1340,99.28
20070111,1345,99.31
20070111,1350,99.3
20070111,1355,99.3
20070111,1400,99.29
20070111,1405,99.21
20070111,1410,99.08
20070111,1415,99.13
20070111,1420,99.01
20070111,1425,99.04
20070111,1430,99.06
20070111,1435,99.14
20070111,1440,99.15
20070111,1445,99.14
20070111,1450,99.2
20070111,1455,99.2
20070111,1500,99.17
20070111,1505,99.16
20070111,1510,99.11
20070111,1515,99.18
20070111,1520,99.18
20070111,1525,98.84
20070111,1530,98.84
20070111,1535,98.75
20070111,1540,98.72
20070111,1545,98.71
20070111,1550,98.6
20070111,1555,98.6
20070111,1600,98.67
20070112,935,99.15
20070112,940,98.93
20070112,945,98.87
20070112,950,98.77
20070112,955,98.87
20070112,1000,98.85
20070112,1005,98.74
20070112,1010,98.72
20070112,1015,98.84
20070112,1020,98.92
20070112,1025,98.96
20070112,1030,99.02
20070112,1035,99.0
20070112,1040,98.97
20070112,1045,98.98
20070112,1050,99.0
20070112,1055,99.02
20070112,1100,99.03
20070112,1105,99.02
20070112,1110,99.1
20070112,1115,99.14
20070112,1120,99.25
20070112,1125,99.44
20070112,1130,99.41
20070112,1135,99.49
20070112,1140,99.62
20070112,1145,99.54
20070112,1150,99.55
20070112,1155,99.46
20070112,1200,99.58
20070112,1205,99.5
20070112,1210,99.55
20070112,1215,99.56
20070112,1220,99.58
20070112,1225,99.66
20070112,1230,99.57
20070112,1235,99.56
20070112,1240,99.5
20070112,1245,99.51
20070112,1250,99.53
20070112,1255,99.47
20070112,1300,99.48
20070112,1305,99.45
20070112,1310,99.57
20070112,1315,99.56
20070112,1320,99.53
20070112,1325,99.48
20070112,1330,99.48
20070112,1335,99.5
20070112,1340,99.51
20070112,1345,99.49
20070112,1350,99.55
20070112,1355,99.5
20070112,1400,99.49
20070112,1405,99.5
20070112,1410,99.5
20070112,1415,99.49
20070112,1420,99.39
20070112,1425,99.45
20070112,1430,99.44
20070112,1435,99.44
20070112,1440,99.45
20070112,1445,99.46
20070112,1450,99.45
20070112,1455,99.42
20070112,1500,99.38
20070112,1505,99.38
20070112,1510,99.37
20070112,1515,99.46
20070112,1520,99.4
20070112,1525,99.42
20070112,1530,99.5
20070112,1535,99.52
20070112,1540,99.41
20070112,1545,99.34
20070112,1550,99.33
20070112,1555,99.27
20070112,1600,99.26
20070116,935,99.9
20070116,940,99.72
20070116,945,99.58
20070116,950,99.68
20070116,955,99.92
20070116,1000,100.0
20070116,1005,100.03
20070116,1010,100.0
20070116,1015,99.97
20070116,1020,100.01
20070116,1025,99.93
20070116,1030,100.0
20070116,1035,100.0
20070116,1040,99.93
20070116,1045,99.96
20070116,1050,100.0
20070116,1055,100.01
20070116,1100,100.0
20070116,1105,100.15
20070116,1110,100.21
20070116,1115,100.34
20070116,1120,100.77
20070116,1125,100.75
20070116,1130,100.75
20070116,1135,100.75
20070116,1140,100.47
20070116,1145,100.54
20070116,1150,100.55
20070116,1155,100.65
20070116,1200,100.53
20070116,1205,100.55
20070116,1210,100.59
20070116,1215,100.54
20070116,1220,100.52
20070116,1225,100.5
20070116,1230,100.47
20070116,1235,100.5
20070116,1240,100.52
20070116,1245,100.54
20070116,1250,100.5
20070116,1255,100.39
20070116,1300,100.37
20070116,1305,100.41
20070116,1310,100.4
20070116,1315,100.37
20070116,1320,100.4
20070116,1325,100.32
20070116,1330,100.33
20070116,1335,100.31
20070116,1340,100.32
20070116,1345,100.29
20070116,1350,100.28
20070116,1355,100.34
20070116,1400,100.31
20070116,1405,100.35
20070116,1410,100.39
20070116,1415,100.38
20070116,1420,100.39
20070116,1425,100.4
20070116,1430,100.26
20070116,1435,100.46
20070116,1440,100.4
20070116,1445,100.41
